2023-10-04 16:38:40,956.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Today is 2023-10-04 at 04:38 PM
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Running on: nt Windows 10
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python version:  3.11.5
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Working dir: C:\Users\cori.tynes\Desktop\Documents_44671\MOD6\streaming-06-smart-smoker
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:44,826.CM_SMARTSMOKER_PROD.INFO Reading messages from smoker_temps_CM.csv...
2023-10-04 16:38:44,827.CM_SMARTSMOKER_PROD.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-04 16:39:11,348.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:26:10,No data received from row]'....
2023-10-04 16:39:11,359.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:26:10,No data received from row]'....
2023-10-04 16:39:13,370.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:26:15,104.8]'....
2023-10-04 16:39:13,381.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:26:15,No data received from row]'....
2023-10-04 16:39:13,390.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:26:15,No data received from row]'....
2023-10-04 16:39:15,404.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:27:10,108.2]'....
2023-10-04 16:39:15,420.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:27:10,No data received from row]'....
2023-10-04 16:39:15,431.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:27:10,No data received from row]'....
2023-10-04 16:39:17,443.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:27:15,108.2]'....
2023-10-04 16:39:17,454.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:27:15,No data received from row]'....
2023-10-04 16:39:17,464.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:27:15,No data received from row]'....
2023-10-04 16:39:19,474.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:28:10,111.4]'....
2023-10-04 16:39:19,488.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:28:10,No data received from row]'....
2023-10-04 16:39:19,498.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:28:10,No data received from row]'....
2023-10-04 16:39:21,508.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:28:15,111.4]'....
2023-10-04 16:39:21,519.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:28:15,No data received from row]'....
2023-10-04 16:39:21,530.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:28:15,No data received from row]'....
2023-10-04 16:39:23,540.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:29:10,114.2]'....
2023-10-04 16:39:23,553.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:29:10,No data received from row]'....
2023-10-04 16:39:23,562.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:29:10,No data received from row]'....
2023-10-04 16:39:25,574.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:29:15,114.2]'....
2023-10-04 16:39:25,589.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:29:15,No data received from row]'....
2023-10-04 16:39:25,600.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:29:15,No data received from row]'....
2023-10-04 16:39:27,611.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:30:10,116.9]'....
2023-10-04 16:39:27,641.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:30:10,No data received from row]'....
2023-10-04 16:39:27,653.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:30:10,No data received from row]'....
2023-10-04 16:39:29,664.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:30:15,116.9]'....
2023-10-04 16:39:29,676.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:30:15,No data received from row]'....
2023-10-04 16:39:29,687.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:30:15,No data received from row]'....
2023-10-04 16:39:31,701.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:31:10,119.4]'....
2023-10-04 16:39:31,714.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:31:10,No data received from row]'....
2023-10-04 16:39:31,724.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:31:10,No data received from row]'....
2023-10-04 16:39:33,734.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:31:15,119.4]'....
2023-10-04 16:39:33,747.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:31:15,No data received from row]'....
2023-10-04 16:39:33,756.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:31:15,No data received from row]'....
2023-10-04 16:39:35,767.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:32:10,120.1]'....
2023-10-04 16:39:35,783.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:32:10,No data received from row]'....
2023-10-04 16:39:35,792.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:32:10,No data received from row]'....
2023-10-04 16:39:37,802.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:32:15,120.1]'....
2023-10-04 16:39:37,814.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:32:15,No data received from row]'....
